view_id,track_id,object_class,northing,easting,speed,stop_probability
2,1,truck,-41.552066972944885,-275.87289492879063,0.0,0.0
2,2,truck,-28.512462916434743,-115.32575162453576,0.4024843024721678,0.4500736995512744
2,8,car,84.5024475469254,195.6746734729968,0.0,0.0
2,9,car,49.5066399165662,-213.81913419626653,0.379095403270382,0.3684626797507926
2,11,car,73.77741428278387,293.5657414044253,0.1063980188860218,0.3899073596400623
2,12,car,109.01288485236,211.75402593286708,0.7462151130685655,0.4500000000000509
2,14,car,3.5428481427952647,-34.11669966345653,0.5886325574507675,0.3645000524909353
2,15,car,71.49877657939214,298.2430839436129,0.10053588901944871,0.4350432464635659
2,16,car,-45.09517563099507,-282.8265913571231,0.559350903661317,0.3750019286936867
2,17,car,-45.05352804320864,-278.1700396523811,0.3105753806505625,0.3645033758441257
2,18,car,77.23714502644725,291.20625432161614,0.14132635539669822,0.39236518144492005
2,19,car,-45.09517563099507,-282.8265913571231,0.8813354216979966,0.3645000000101717
2,20,car,-10.025171388522722,5.588608089834452,0.3651826196870592,0.3645267555288182
2,22,car,-47.31147964915726,-271.1644575148821,0.3370247811857846,0.3645266609207598
2,23,car,-8.920373867382295,-259.86554864421487,0.6158310814010365,0.364500022279826
2,25,car,50.23029644531198,126.12839644495398,3.1308330472275148,0.0
2,27,car,-3.633801947813481,-187.7306489609182,0.0,0.0
2,28,car,69.19925187714398,300.5921642030589,0.0,0.0
2,29,car,-43.97660983167589,-287.49351947940886,0.5729575413828101,0.364500034491932
2,30,car,-5.606343144434504,-278.52285444224253,0.473420894788631,0.3645006169612425
2,32,car,39.47543042479083,91.2979898126796,0.0,0.0
2,3,car,20.9538274864899,96.12088145688176,0.4836222394644874,0.0
2,4,person,47.13042689103168,-90.38990651676431,0.003487142280797185,0.4725295210804623
2,5,person,49.22156548011117,-116.02160116611049,0.002970587552805342,0.47257832179057385
2,13,truck,-28.512462916434743,-115.32575162453576,0.4790329011701858,0.3645007127580665
